brandName,isVariantsWithSamePrice,picturesUrl,categories,hsnCode,inclusiveAllTaxes,picturesPath,productUid,description,gender,hasNoGstNumber,otherTax,productName,storeId,prn,createdOn,storeDetails,tags,variants,addedBy,taxType,isListable,isDeleted
Virgo,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FeIGNV5kDx1JuMCn3td3W%2Fproducts%2F1545111199405_Jeans-Pants-Men-s-Trend-Teens-Slim-Elasticity-Cheap-Sale-750.jpg?alt=media&token=9c916b4d-9bd9-4a94-ad12-a915b8c00711""]","{""category1"":""jeans"",""category2"":"" Slim Fit"",""colorCategory"":""blue""}",61,1,"[""stores/eIGNV5kDx1JuMCn3td3W/products/1545111199405_Jeans-Pants-Men-s-Trend-Teens-Slim-Elasticity-Cheap-Sale-750.jpg""]",Gm9UbGDZm3PgbRh1m42o,,Men,1,0,Jeans Pants Men's  Slim Fit,eIGNV5kDx1JuMCn3td3W,wjdld,"{""_seconds"":1545111214,""_nanoseconds"":283000000}","{""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""DB road, Rs Puram""},""location"":{""_latitude"":10.996953099999999,""_longitude"":76.95853369999999},""name"":""Mens Mufti""}","[""Jeans"",""slim fit"",""blue""]","[{""size"":""38"",""stock"":15,""purchasedPrice"":650,""objectID"":""Gm9UbGDZm3PgbRh1m42o_0"",""sellingPrice"":1150},{""stock"":20,""purchasedPrice"":0,""objectID"":""Gm9UbGDZm3PgbRh1m42o_1"",""sellingPrice"":0,""size"":""36""}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
spice,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544975574345_download.jpg?alt=media&token=cc9ee349-159c-429a-90ad-0e7498c7bd37""]","{""category1"":""jeans "",""category2"":""slim fit"",""colorCategory"":""Black""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544975574345_download.jpg""]",I4HBN6PEkiPQIJYumNNl,,Men,1,0,Skinny Black jeans for men,enyMuzrGVEwXM5UaFJyG,wpjck,"{""_seconds"":1544975587,""_nanoseconds"":739000000}","{""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion "",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURM""}}","[""jeans "",""slim fit""]","[{""stock"":10,""purchasedPrice"":700,""objectID"":""I4HBN6PEkiPQIJYumNNl_0"",""sellingPrice"":1200,""size"":""38""},{""objectID"":""I4HBN6PEkiPQIJYumNNl_1"",""sellingPrice"":0,""size"":""36"",""stock"":20,""purchasedPrice"":0}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
Seema,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2Fo52ai0cVtcxBPbsS8MuU%2Fproducts%2F1545114022444_splendid-french-terry-legging-2-black-leggings_1.jpg?alt=media&token=adeb4c80-729a-4cad-b7cb-22dc676cbbcb""]","{""category1"":""Legging"",""category2"":""Splendid"",""colorCategory"":""Black""}",61,1,"[""stores/o52ai0cVtcxBPbsS8MuU/products/1545114022444_splendid-french-terry-legging-2-black-leggings_1.jpg""]",Iw2A5fEPXjUlLplD57xn,,Women,1,0,Splendid French Terry Legging,o52ai0cVtcxBPbsS8MuU,sprtr,"{""_seconds"":1545114031,""_nanoseconds"":125000000}","{""location"":{""_latitude"":10.996940799999999,""_longitude"":76.9581056},""name"":""Diva Fashion"",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURAM""}}","[""Splendid"","" Legging"",""black""]","[{""objectID"":""Iw2A5fEPXjUlLplD57xn_0"",""sellingPrice"":250,""size"":""36"",""stock"":11,""purchasedPrice"":150},{""size"":""38"",""stock"":10,""purchasedPrice"":0,""objectID"":""Iw2A5fEPXjUlLplD57xn_1"",""sellingPrice"":0}]",xYKdM80shFN1HN2eFjdEvH7SabG2,textile,1,
virgo,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544973297009_images.jpg?alt=media&token=32c32abe-e5ad-4641-91b1-8058cfdb73f5""]","{""colorCategory"":""red"",""category1"":""T-Shirt "",""category2"":""Full Hand""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544973297009_images.jpg""]",JQllKt53iG818UaqvVHU,,Men,1,0, full sleeve red and grey color  T-Shirt  for men,enyMuzrGVEwXM5UaFJyG,zbgct,"{""_seconds"":1544973309,""_nanoseconds"":818000000}","{""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion "",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURM""}}","[""T-Shirt "",""Full Hand"",""round neck""]","[{""objectID"":""JQllKt53iG818UaqvVHU_0"",""sellingPrice"":399,""size"":""xl"",""stock"":10,""purchasedPrice"":200},{""purchasedPrice"":0,""objectID"":""JQllKt53iG818UaqvVHU_1"",""sellingPrice"":0,""size"":""l"",""stock"":20}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
Virgo,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FeIGNV5kDx1JuMCn3td3W%2Fproducts%2F1545109379179_11473928353466-Roadster-Men-Black-Regular-Fit-Checked-Casual-Shirt-4501473928353310-1.jpg?alt=media&token=cb6994a2-37b7-4de1-a62f-a175594e9504""]","{""category1"":""Casuals"",""category2"":""Full Hand"",""colorCategory"":""Black""}",61,1,"[""stores/eIGNV5kDx1JuMCn3td3W/products/1545109379179_11473928353466-Roadster-Men-Black-Regular-Fit-Checked-Casual-Shirt-4501473928353310-1.jpg""]",JuG2H1L825WY4xTA9Whr,,Men,1,0,Casual Shirts for Men,eIGNV5kDx1JuMCn3td3W,lygfb,"{""_seconds"":1545109407,""_nanoseconds"":118000000}","{""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""DB road, Rs Puram""},""location"":{""_latitude"":10.996953099999999,""_longitude"":76.95853369999999},""name"":""Mens Mufti""}","[""Casuals"",""Full Hand""]","[{""stock"":20,""purchasedPrice"":350,""objectID"":""JuG2H1L825WY4xTA9Whr_0"",""sellingPrice"":699,""size"":""l""},{""purchasedPrice"":0,""objectID"":""JuG2H1L825WY4xTA9Whr_1"",""sellingPrice"":0,""size"":""xl"",""stock"":10}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
 Allen Solly,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FeIGNV5kDx1JuMCn3td3W%2Fproducts%2F1545108319370_184470-507638-large.jpg?alt=media&token=8983bf8b-fc24-425e-9fbe-28fc113f5cf7""]","{""category2"":""Half Hand"",""colorCategory"":""Navy"",""category1"":""t shirt""}",61,1,"[""stores/eIGNV5kDx1JuMCn3td3W/products/1545108319370_184470-507638-large.jpg""]",Ka94JCawDGYIunR3rXUL,,Men,1,0, Allen Solly Mens T Shirts ,eIGNV5kDx1JuMCn3td3W,gjdws,"{""_seconds"":1545108334,""_nanoseconds"":595000000}","{""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""DB road, Rs Puram""},""location"":{""_latitude"":10.996953099999999,""_longitude"":76.95853369999999},""name"":""Mens Mufti""}","[""T- Shirt\\"",""Half Hand""]","[{""objectID"":""Ka94JCawDGYIunR3rXUL_0"",""sellingPrice"":499,""size"":""m"",""stock"":20,""purchasedPrice"":250},{""purchasedPrice"":0,""objectID"":""Ka94JCawDGYIunR3rXUL_1"",""sellingPrice"":0,""size"":""l"",""stock"":15}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
Brooklyn Denim Co. ,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FeIGNV5kDx1JuMCn3td3W%2Fproducts%2F1545110573809_Brooklyn-Denim-Co.-Mens-Skinny-Black-Back.jpg?alt=media&token=82fca357-db0f-4cbf-90e3-ca00b93ed760""]","{""category1"":""jeans"",""category2"":""slim fit"",""colorCategory"":""Black""}",61,1,"[""stores/eIGNV5kDx1JuMCn3td3W/products/1545110573809_Brooklyn-Denim-Co.-Mens-Skinny-Black-Back.jpg""]",KfxErqJd2RU0dLNP5lbM,,Men,1,0,Brooklyn Denim Co. Mens Black ,eIGNV5kDx1JuMCn3td3W,cgypg,"{""_seconds"":1545110580,""_nanoseconds"":279000000}","{""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""DB road, Rs Puram""},""location"":{""_latitude"":10.996953099999999,""_longitude"":76.95853369999999},""name"":""Mens Mufti""}","[""Full Pant"",""Jeans"",""slimfit""]","[{""purchasedPrice"":650,""objectID"":""KfxErqJd2RU0dLNP5lbM_0"",""sellingPrice"":999,""size"":""36 "",""stock"":12},{""stock"":20,""purchasedPrice"":0,""objectID"":""KfxErqJd2RU0dLNP5lbM_1"",""sellingPrice"":0,""size"":""38""}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
VILLAIN,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544975861780_128332213VLNF03MRNF1506504533.jpg?alt=media&token=60a629e6-0a90-4826-994a-c8b72f4229c2""]","{""category2"":""Slim Fit "",""colorCategory"":""Black"",""category1"":""Formals""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544975861780_128332213VLNF03MRNF1506504533.jpg""]",L8I29IEirydDUI5ZxpjY,,Men,1,0,VILLAIN Slim Fit Formal Pants for men,enyMuzrGVEwXM5UaFJyG,jrlxz,"{""_seconds"":1544975872,""_nanoseconds"":450000000}","{""address"":{""street"":""RS PURM"",""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001},""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion ""}","[""Formals"",""Slim Fit""]","[{""size"":""38"",""stock"":10,""purchasedPrice"":550,""objectID"":""L8I29IEirydDUI5ZxpjY_0"",""sellingPrice"":1200},{""objectID"":""L8I29IEirydDUI5ZxpjY_1"",""sellingPrice"":0,""size"":""36"",""stock"":20,""purchasedPrice"":0}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
Riva,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2Fo52ai0cVtcxBPbsS8MuU%2Fproducts%2F1545113730385_stephanie-white-frill-sleeve-bodysuit-1_large.jpg?alt=media&token=2b506bbc-a867-4b6b-b673-970243b98906""]","{""category2"":""Half Hand"",""colorCategory"":""White"",""category1"":""tops""}",61,1,"[""stores/o52ai0cVtcxBPbsS8MuU/products/1545113730385_stephanie-white-frill-sleeve-bodysuit-1_large.jpg""]",LFT3U6QwqswKL0WHxJqQ,,Women,1,0,Stephanie White half  Sleeve ,o52ai0cVtcxBPbsS8MuU,pvbxs,"{""_seconds"":1545113738,""_nanoseconds"":156000000}","{""location"":{""_latitude"":10.996940799999999,""_longitude"":76.9581056},""name"":""Diva Fashion"",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURAM""}}","[""Tops"",""Half Hand"",""white""]","[{""purchasedPrice"":200,""objectID"":""LFT3U6QwqswKL0WHxJqQ_0"",""sellingPrice"":350,""size"":""m"",""stock"":16},{""purchasedPrice"":0,""objectID"":""LFT3U6QwqswKL0WHxJqQ_1"",""sellingPrice"":0,""size"":""l"",""stock"":14}]",xYKdM80shFN1HN2eFjdEvH7SabG2,textile,1,
Spice,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FeIGNV5kDx1JuMCn3td3W%2Fproducts%2F1545109204761_images.jpg?alt=media&token=0fbc06a3-47c8-43db-871c-8eb60dd7b0b1""]","{""category2"":""Full Hand"",""colorCategory"":""Black"",""category1"":""T-shirt""}",61,1,"[""stores/eIGNV5kDx1JuMCn3td3W/products/1545109204761_images.jpg""]",M2BbXnAqAWtkNq1Uc2E4,,Men,1,0, Black Cotton T-shirt  For MEN,eIGNV5kDx1JuMCn3td3W,lvxmy,"{""_seconds"":1545109220,""_nanoseconds"":219000000}","{""address"":{""street"":""DB road, Rs Puram"",""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001},""location"":{""_latitude"":10.996953099999999,""_longitude"":76.95853369999999},""name"":""Mens Mufti""}","[""T- Shirt"",""round neck "",""Full Hand""]","[{""purchasedPrice"":150,""objectID"":""M2BbXnAqAWtkNq1Uc2E4_0"",""sellingPrice"":250,""size"":""m"",""stock"":20},{""stock"":15,""purchasedPrice"":0,""objectID"":""M2BbXnAqAWtkNq1Uc2E4_1"",""sellingPrice"":0,""size"":""l""}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
